C3D_Name,Column_1_Output_Name,Column_2_Output_Name,Column_3_Output_Name
peLShldrAngAccDeg,peLShldrFlexExtAngAccDeg,peLShldrAddAbdAngAccDeg,peLShldrIntExtRotAngAccDeg
peLShldrAngVel,peLShldrFlexExtAngVel,peLShldrAddAbdAngVel,peLShldrIntExtRotAngVel
peLShldrAngVelDeg,peLShldrFlexExtAngVelDeg,peLShldrAddAbdAngVelDeg,peLShldrIntExtRotAngVelDeg
PelShldrSepAngle,ShldrSepFlexExt,ShldrSepAlign,ShldrSepRot
peLShoulderAngle,peLShldrFlexExt,peLShldrAddAbd,peLShldrIntExtRot
peLShtoThoraxAngle,peLShldrToThoraxFlexExt,peLShldrToThoraxAddAbd,peLShldrToThoraxIntExtRot
PeltoLumAngle,PelvisLumbarFlexExt,PelvisLumbarAddAbd,PelvisLumbarIntExtRot
PelvisAngle,GlobalPelvisTilt,GlobalPelvisObl,GlobalPelvisRot
peRElbowAngAcc,peRElbowFlexExtAngAcc,peRElbowAddAbdAngAcc,peRElbowIntExtAngAcc
peRElbowAngAccDeg,peRElbowFlexExtAngAccDeg,peRElbowAddAbdAngAccDeg,peRElbowIntExtRotAngAccDeg
peRElbowAngle,peRElbowFlexExt,peRElbowAddAbd,peRElbowIntExtRot
peRElbowAngVel,peRElbowFlexExtAngVel,peRElbowAddAbdAngVel,peRElbowIntExtRotAngVel
peRElbowAngVelDeg,peRElbowFlexExtAngVelDeg,peRElbowAddAbdAngVelDeg,peRElbowIntExtRotAngVelDeg
peRShldrAngAcc,peRShldrFlexExtAngAcc,peRShldrAddAbdAngAcc,peRShldrIntExtRotAngAcc
peRShldrAngAccDeg,peRShldrFlexExtAngAccDeg,peRShldrAddAbdAngAccDeg,peRShldrIntExtRotAngAccDeg
peRShldrAngVel,peRShldrFlexExtAngVel,peRShldrAddAbdAngVel,peRShldrIntExtRotAngVel
peRShldrAngVelDeg,peRShldrFlexExtAngVelDeg,peRShldrAddAbdAngVelDeg,peRShldrIntExtRotAngVelDeg
peRShoulderAngle,peRShldrFlexExt,peRShldrAddAbd,peRShldrIntExtRot
peRShtoThoraxAngle,peRShldrToThoraxFlexExt,peRShldrToThoraxAddAbd,peRShldrToThoraxIntExtRot
pLEJC,pLEJCX,pLEJCY,pLEJCZ
pLShoulderAnatomyYXY,pLShldrAnatPlaneOfElev,pLShldrAnatElev,pLShldrAnatIntExtRot
pLShoulderSWYXY,pLShldrShldrWingPlaneOfElev,pLShldrShldrWingElev,pLShldrShldrWingIntExtRot
pLShoulderThoraxYXY,pLShldrThorPlaneOfElev,pLShldrThorElev,pLShldrThorIntExtRot
Point1,COP1x,COP1y,COP1z
Point2,COP2x,COP2y,COP2z
Point3,COP3x,COP3y,COP3z
PowerRacq,XXPowerRacq,XXPowerRacq,RacqScalarPower
PowerRacqNorm,XXPowerRacqNorm,XXPowerRacqNorm,RacqScalarPowerNorm
pREJC,pREJCX,pREJCY,pREJCZ
prLEJC,prLEJCX,prLEJCY,prLEJCZ
prLElbowAngle,prLElbowFlexExt,prLElbowAddAbd,prLElbowIntExtRot
prREJC,prREJCX,prREJCY,prREJCZ
prRElbowAngle,prRElbowFlexExt,prRElbowAddAbd,prRElbowIntExtRot
pRShoulderAnatomyYXY,pRShldrAnatPlaneOfElev,pRShldrAnatElev,pRShldrAnatIntExtRot
pRShoulderSWYXY,pRShldrShldrWingPlaneOfElev,pRShldrShldrWingElev,pRShldrShldrWingIntExtRot
pRShoulderThoraxYXY,pRShldrThorPlaneOfElev,pRShldrThorElev,pRShldrThorIntExtRot
RacOrigin,RacOriginX,RacOriginY,RacOriginZ
RacqAngAcc,RacqFlexExtAngAcc,RacqAddAbdAngAcc,RacqIntExtRotAngAcc
RacqAngAccDeg,RacqFlexExtAngAccDeg,RacqAddAbdAngAccDeg,RacqIntExtRotAngAccDeg
RacqAngle,RacqFlexExt,RacqAddAbd,RacqIntExtRot
RacqAngVel,RacqFlexExtAngVel,RacqAddAbdAngVel,RacqIntExtRotAngVel
RacqAngVelDeg,RacqFlexExtAngVelDeg,RacqAddAbdAngVelDeg,RacqIntExtRotAngVelDeg
RacqForce,RacqForceX,RacqForceY,RacqForceZ
RacqMoments,RacqFlexExtMom,RacqAddAbdMom,RacqIntExtRotMom
RacqPosition,RacqPositionX,RacqPositionY,RacqPositionZ
RacqPowerTerms,RacqFlexExtPower,RacqAddAbdPower,RacqIntExtRotPower
RacqPowerTermsNorm,RacqFlexExtPowerNorm,RacqAddAbdPowerNorm,RacqIntExtRotPowerNorm
RAJC,RAJCx,RAJCy,RAJCz
RAnkleAngAcc,RAnkleFlexExtAngAcc,RAnkleInvEvAngAcc,RAnkleAddAbdAngAcc
RAnkleAngAccDeg,RAnkleFlexExtAngAccDeg,RAnkleInvEvAngAccDeg,RAnkleAddAbdAngAccDeg
RAnkleAngle,RAnklePDFlex,RAnkleInvEv,RAnkleAddAbd
RAnkleAngVel,RAnkleFlexExtAngVel,RAnkleInvEvAngVel,RAnkleAddAbdAngVel
RAnkleAngVelDeg,RAnkleFlexExtAngVelDeg,RAnkleInvEvAngVelDeg,RAnkleAddAbdAngVelDeg
RAnkleForce,RAnkleForceX,RAnkleForceY,RAnkleForceZ
RAnkleMoments,RAnklePDFlexMom,RAnkleAddAbdMom,RAnkleAddAbdMom
RAnklePosition,RAnklePositionX,RAnklePositionY,RAnklePositionZ
RAnklePowerTerms,RAnkleFlexExtPower,RAnkleInvEvPower,RAnkleAddAbdPower
RAnklePowerTermsNorm,RAnkleFlexExtPowerNorm,RAnkleInvEvPowerNorm,RAnkleAddAbdPowerNorm
RCAL,RCALX,RCALY,RCALZ
REJC,REJCX,REJCY,REJCZ
RElbowAngle,RElbowFlexExt,RElbowAddAbd,RElbowIntExtRot
RElbowAngAcc,RElbowFlexExtAngAcc,RElbowAddAbdAngAcc,RElbowIntExtRotAngAcc
RElbowAngAccDeg,RElbowFlexExtAngAccDeg,RElbowAddAbdAngAccDeg,RElbowIntExtRotAngAccDeg
RElbowAngVel,RElbowFlexExtAngVel,RElbowAddAbdAngVel,RElbowIntExtRotAngVel
RElbowAngVelDeg,RElbowFlexExtAngVelDeg,RElbowAddAbdAngVelDeg,RElbowIntExtRotAngVelDeg
RElbowForce,RElbowForceX,RElbowForceY,RElbowForceZ
RElbowMoments,RElbowFlexExtMom,RElbowAddAbdMom,RElbowIntExtRotMom
RElbowPosition,RElbowPositionX,RElbowPositionY,RElbowPositionZ
RElbowPowerTerms,RElbowPowerTermX,RElbowPowerTermY,RElbowPowerTermZ
RElbowPowerTermsNorm,RElbowPowerTermsNormX,RElbowPowerTermsNormY,RElbowPowerTermsNormZ
RFBimpact,RFBimpactX,RFBimpactY,RFBimpactZ
RFootProgression,RFootFlexPelvis,RFootInvEvPelvis,RFootAddAbdPelvis
RHipAngAcc,RHipFlexExtAngAcc,RHipAddAbdAngAcc,RHipIntExtRotAngAcc
RHipAngAccDeg,RHipFlexExtAngAccDeg,RHipAddAbdAngAccDeg,RHipIntExtRotAngAccDeg
RHipAngle,RHipFlexExt,RHipAddAbd,RHipIntExtRot
RHipAngVel,RHipFlexExtAngVel,RHipAddAbdAngVel,RHipIntExtRotAngVel
RHipAngVelDeg,RHipFlexExtAngVelDeg,RHipAddAbdAngVelDeg,RHipIntExtRotAngVelDeg
RHipForce,RHipForceX,RHipForceY,RHipForceZ
RHipMoments,RHipFlexExtMom,RHipAddAbdMom,RHipIntExtRotMom
RHipPosition,RHipPositionX,RHipPositionY,RHipPositionZ
RHipPowerTerms,RHipFlexExtPower,RHipAddAbdPower,RHipIntExtRotPower
RHipPowerTermsNorm,RHipFlexExtPowerNorm,RHipAddAbdPowerNorm,RHipIntExtRotPowerNorm
RHJC,RHJCx,RHJCy,RHJCz
RKJC,RKJCx,RKJCy,RKJCz
RKneeAngAcc,RKneeFlexExtAngAcc,RKneeAddAbdAngAcc,RKneeIntExtRotAngAcc
RKneeAngAccDeg,RKneeFlexExtAngAccDeg,RKneeAddAbdAngAccDeg,RKneeIntExtRotAngAccDeg
